name,address,phone,website,email,rating,reviews_count,city,category,scraped_at
The Magic Table - Hamburg,"Adresse: Rothenbaumchaussee 10, 20148 Hamburg ",Telefon: 040 41412866 ,http://themagictable.com/hamburg,tmt.hamburg@grand-elysee.com,,,Hamburg,restaurant,2025-11-18 16:52:48
Yemen Restaurant,"Adresse: Steindamm 71, 20099 Hamburg ",Telefon: 040 71001404 ,https://www.yemen-restaurant.de/,,"4,7",,Hamburg,restaurant,2025-11-18 16:54:11
Erdapfel Hamburg,"Adresse: Burchardstraße 10, 20095 Hamburg ",Telefon: 040 52167305 ,https://www.erdapfel-hamburg.de/,kontakt@erdapfel-hamburg.de,,,Hamburg,restaurant,2025-11-18 16:54:19
Deichgraf Restaurant,"Adresse: Deichstraße 23, 20459 Hamburg ",Telefon: 040 364208 ,https://speisekartenweb.de/restaurants/hamburg/deichgraf-restaurant-30023?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin,info@deichgraf-hamburg.de,"4,6",,Hamburg,restaurant,2025-11-18 16:54:31
Jawa Restaurant - Traditional Indonesian Food,"Adresse: Wendenstraße 29, 20097 Hamburg ",Telefon: 040 23998787 ,https://www.jawa-restaurant.de/,,"4,2",,Hamburg,restaurant,2025-11-18 16:54:37
NAGEL Restaurant und Kneipe in Hamburg,"Adresse: Kirchenallee 57, 20099 Hamburg ",Telefon: 040 247121 ,http://restaurant-kneipe-hamburg.de/,,"4,3",,Hamburg,restaurant,2025-11-18 16:54:45
Restaurant Teheran,"Adresse: Adenauerallee 70, 20097 Hamburg ",Telefon: 040 335185 ,http://restaurant-sprinkenhof.de/,kontakt@restaurant-sprinkenhof.de,"4,7",,Hamburg,restaurant,2025-11-18 16:54:53
Jawa Restaurant - Traditional Indonesian Food,"Adresse: Wendenstraße 29, 20097 Hamburg ",Telefon: 040 23998787 ,https://www.jawa-restaurant.de/,,"4,2",,Hamburg,restaurant,2025-11-18 16:54:59
NAGEL Restaurant und Kneipe in Hamburg,"Adresse: Kirchenallee 57, 20099 Hamburg ",Telefon: 040 247121 ,http://restaurant-kneipe-hamburg.de/,,"4,3",,Hamburg,restaurant,2025-11-18 16:55:04
Restaurante Picasso,"Adresse: Rathausstraße 14, 20095 Hamburg ",Telefon: 040 326548 ,http://www.picasso-hamburgo.de/,info@picasso-hamburgo.de,"4,7",,Hamburg,restaurant,2025-11-18 16:55:11
Nespresso N-Point im Media Markt,"Adresse: Paul-Nevermann-Platz 15, 22765 Hamburg ",Telefon: 0800 1818444 ,https://www.nespresso.com/de/de,,"3,7",,Hamburg,cafe,2025-11-18 16:55:29
Café ZessP,"Adresse: Am Schwarzenberg-Campus 2, 21073 Hamburg ",,https://www.stwhh.de/gastronomie/mensen-cafes-weiteres/mensa/cafe-zessp,mensa@stwhh.de,"4,8",,Hamburg,cafe,2025-11-18 16:55:35
Mili’s Cafe,"Adresse: Neustädter Neuer Weg 20, 20459 Hamburg ",Telefon: 040 71622282 ,,,"4,8",,Hamburg,cafe,2025-11-18 16:55:46
Café Bom Dia,"Adresse: Deichhausweg 11-12, 21073 Hamburg ",Telefon: 040 33981222 ,,,"4,7",,Hamburg,cafe,2025-11-18 16:55:53
Mili’s Cafe,"Adresse: Neustädter Neuer Weg 20, 20459 Hamburg ",Telefon: 040 71622282 ,,,"4,8",,Hamburg,cafe,2025-11-18 16:56:07
Maria Café,"Adresse: Kleine Freiheit 68, 22767 Hamburg ",,,,"4,9",,Hamburg,cafe,2025-11-18 16:56:14
Mili’s Cafe,"Adresse: Neustädter Neuer Weg 20, 20459 Hamburg ",Telefon: 040 71622282 ,,,"4,8",,Hamburg,cafe,2025-11-18 16:56:21
Entenwerder1,"Adresse: Entenwerder 1, 20539 Hamburg ",Telefon: 040 70293588 ,https://entenwerder.de/,info@entenwerder.com,"4,5",,Hamburg,cafe,2025-11-18 16:56:26
Café insgrüne Harburg,"Adresse: Eißendorfer Str. 38, 21073 Hamburg ",Telefon: 0176 10016238 ,https://www.stwhh.de/gastronomie/mensen-cafes-weiteres/mensa/cafe-insgruene-harburg,mensa@studierendenwerk-hamburg.de,"4,4",,Hamburg,cafe,2025-11-18 16:56:34
Cafe Miller,"Adresse: Detlev-Bremer-Straße 16, 20359 Hamburg ",Telefon: 040 315719 ,http://www.cafe-miller.de/,,"4,7",,Hamburg,cafe,2025-11-18 16:56:40
Entenwerder1,"Adresse: Entenwerder 1, 20539 Hamburg ",Telefon: 040 70293588 ,https://entenwerder.de/,info@entenwerder.com,"4,5",,Hamburg,cafe,2025-11-18 16:56:51
Entenwerder1,"Adresse: Entenwerder 1, 20539 Hamburg ",Telefon: 040 70293588 ,https://entenwerder.de/,info@entenwerder.com,"4,5",,Hamburg,cafe,2025-11-18 16:57:03
Cafe Miller,"Adresse: Detlev-Bremer-Straße 16, 20359 Hamburg ",Telefon: 040 315719 ,http://www.cafe-miller.de/,,"4,7",,Hamburg,cafe,2025-11-18 16:57:09
